PRCL,NPRO,n_punct,title_len
3.0,1.0,9,11
1.0,3.0,19,9
3.0,3.0,7,12
3.0,1.0,15,10
2.0,1.0,11,8
2.0,1.0,11,8
3.0,2.0,53,7
8.0,4.0,15,12
4.0,1.0,17,12
3.0,3.0,9,11
1.0,2.0,11,8
3.0,3.0,14,8
2.0,2.0,8,8
2.0,4.0,14,11
3.0,1.0,8,8
7.0,6.0,24,9
6.0,6.0,22,12
1.0,2.0,26,6
5.0,8.0,14,10
1.0,1.0,14,9
20.0,5.0,30,7
3.0,3.0,10,11
2.0,6.0,14,9
2.0,3.0,25,9
2.0,3.0,11,9
7.0,2.0,16,10
1.0,2.0,10,14
1.0,2.0,12,11
4.0,4.0,7,8
12.0,28.0,202,10
235.0,120.0,5795,9
2.0,3.0,12,8
1.0,1.0,5,8
3.0,8.0,16,9
1.0,2.0,19,10
2.0,5.0,18,7
3.0,3.0,5,10
4.0,4.0,22,8
1.0,5.0,10,11
8.0,7.0,18,9
2.0,3.0,14,10
2.0,3.0,11,6
1.0,2.0,5,10
3.0,3.0,12,8
3.0,3.0,24,6
4.0,7.0,23,14
3.0,4.0,31,11
3.0,1.0,16,13
2.0,2.0,16,12
3.0,1.0,5,12
13.0,12.0,77,6
6.0,5.0,6,10
3.0,3.0,18,10
3.0,5.0,13,16
3.0,1.0,37,7
2.0,2.0,23,8
11.0,10.0,18,10
2.0,9.0,15,11
7.0,3.0,15,8
9.0,5.0,19,9
7.0,3.0,21,11
3.0,2.0,10,8
6.0,1.0,13,8
4.0,3.0,39,7
3.0,4.0,15,8
1.0,3.0,6,10
5.0,5.0,15,10
2.0,1.0,20,9
7.0,2.0,9,9
20.0,8.0,47,7
7.0,9.0,10,8
34.0,26.0,81,11
3.0,4.0,23,10
4.0,5.0,46,13
2.0,2.0,8,10
1.0,3.0,11,10
15.0,9.0,21,10
2.0,3.0,17,10
1.0,1.0,13,10
3.0,2.0,14,8
2.0,2.0,11,9
4.0,6.0,20,8
2.0,1.0,9,14
